sub_dept,transactions,exposure_pct
400 CONSTRUCTION TOOLS,45,0.004031055249643252
400 HOUSEHOLD PEST CONTROL,42,0.0037623182330003683
400 GARAGE SYSTEMS,40,0.0035831602219051125
400 CONCERTINA DOOR,39,0.003493581216357485
400 CLEANING AND ACC OFFRANGE,37,0.003314423205262229
401 SCREENING,35,0.0031352651941669737
400 SUPPLIER LIT GARDEN CARE,34,0.0030456861886193455
401 BBQ OFF RANGE,34,0.0030456861886193455
400 POWER TOOLS OFF RANGE,31,0.002776949171976462
400 NETWORK DEVICES,28,0.002508212155333579
400 ROOM FURN AND LAUNDRY CSO,27,0.002418633149785951
400 SPEC CEMENT PRODUCTS,25,0.0022394751386906955
400 FLOORING OFF RANGE,22,0.0019707381220478116
400 PAINT OFF RANGE,22,0.0019707381220478116
400 SCREEN,21,0.0018811591165001842
400 F AND T OFF RANGE,21,0.0018811591165001842
400 NZ NON FOOD BULK PRODUCTS,21,0.0018811591165001842
400 BLDNG MATERIALS OFFRANGE,20,0.0017915801109525563
VEHICLE HIRE SDT,19,0.0017020011054049284
400 PUBLICATION,18,0.0016124220998573005
401 BATHROOM OFF RANGE,17,0.0015228430943096728
400 ENGINEERING TIMBER,16,0.001433264088762045
400 FURNITURE OFF RANGE,16,0.001433264088762045
400 DOOR CAVITY,16,0.001433264088762045
400 HAND TOOLS OFF RANGE,14,0.0012541060776667895
401 ELECTRICAL OFF RANGE,14,0.0012541060776667895
402 INDOOR LIGHTING OFF RANGE,14,0.0012541060776667895
402 KITCHENS OFF RANGE,13,0.0011645270721191616
400 HOME AND SAFETY OFF RANGE,12,0.0010749480665715337
400 FIXINGS OFF RANGE,10,0.0008957900554762781
400 ENERGY,10,0.0008957900554762781
400 PLUMBING BW OFF RANGE,10,0.0008957900554762781
400 BUILDING SUPPLIES ACCESS,9,0.0008062110499286502
400 WATERING OFF RANGE,8,0.0007166320443810225
400 SMART HOME DEVICES,8,0.0007166320443810225
400 PAINT ACCESS OFF RANGE,8,0.0007166320443810225
400 POWER GARDEN OFF RANGE,8,0.0007166320443810225
402 OUTDOOR LIGHTING OFF RANGE,6,0.0005374740332857669
400 SKYLIGHTS AND ROOF WINDOWS,6,0.0005374740332857669
400 SECURITY HARDWARE OFFRANGE,6,0.0005374740332857669
400 DOORS OFF RANGE,6,0.0005374740332857669
400 BRICK BLOCK AND TILE,4,0.00035831602219051127
403 WIN FURNISHINGS OFFRANGE,4,0.00035831602219051127
400 MISC OPE ACCESSORIES,4,0.00035831602219051127
401 TIMBER POSTS,4,0.00035831602219051127
LANDSCAPING EQUIPMENT SDT,3,0.0002687370166428834
400 TOOL ACCESS OFF RANGE,3,0.0002687370166428834
400 BRICK BLOCK AND PRECAST,3,0.0002687370166428834
400 TRNSPRT N MOVING OFF RANGE,2,0.00017915801109525564
400 BRACING BOARDS TTS,2,0.00017915801109525564
CHARITY - SALE OR RETURN,2,0.00017915801109525564
401 STEEL OFFRANGE,2,0.00017915801109525564
HIRE SHOP OFF RANGE,2,0.00017915801109525564
401 ELECTRICAL COOLING,1,8.957900554762782e-05
